iter	Passed	Remaining
879	984	134
880	985	133
881	985	131
882	987	130
883	988	129
884	989	128
885	990	127
886	991	126
887	992	125
888	993	124
889	994	122
890	995	121
891	996	120
892	997	119
893	998	118
894	999	117
895	999	116
896	1000	114
897	1001	113
898	1003	112
899	1003	111
900	1005	110
901	1005	109
902	1006	108
903	1007	107
904	1008	105
905	1009	104
906	1010	103
907	1011	102
908	1012	101
909	1013	100
910	1014	99
911	1015	97
912	1016	96
913	1016	95
914	1017	94
915	1018	93
916	1019	92
917	1020	91
918	1022	90
919	1023	88
920	1023	87
921	1024	86
922	1025	85
923	1026	84
924	1027	83
925	1028	82
926	1029	81
927	1030	79
928	1031	78
929	1032	77
930	1033	76
931	1035	75
932	1036	74
933	1036	73
934	1037	72
935	1038	71
936	1039	69
937	1040	68
938	1041	67
939	1042	66
940	1043	65
941	1044	64
942	1045	63
943	1046	62
944	1047	60
945	1048	59
946	1049	58
947	1050	57
948	1051	56
949	1052	55
950	1053	54
951	1053	53
952	1054	52
953	1055	50
954	1056	49
955	1057	48
956	1058	47
957	1059	46
958	1059	45
959	1060	44
960	1061	43
961	1062	41
962	1063	40
963	1065	39
964	1066	38
965	1067	37
966	1068	36
967	1069	35
968	1070	34
969	1071	33
970	1072	32
971	1073	30
972	1074	29
973	1075	28
974	1076	27
975	1077	26
976	1077	25
977	1079	24
978	1080	23
979	1081	22
980	1082	20
981	1083	19
982	1084	18
983	1085	17
984	1086	16
985	1087	15
986	1087	14
987	1088	13
988	1089	12
989	1090	11
990	1091	9
991	1092	8
992	1093	7
993	1094	6
994	1095	5
995	1097	4
996	1098	3
997	1099	2
998	1100	1
999	1101	0
